species_id,total_records,usa_records,dated_any,dated_full,post_2010,valid_coords,uncertainty_le_2km,gbif_issue_flagged,captive_flagged,has_media,basis_HumanObservation,basis_Observation,basis_MachineObservation,basis_PreservedSpecimen,basis_FossilSpecimen,basis_Other,pct_dated_any,pct_dated_full,pct_post_2010,pct_uncertainty_le_2km,pct_captive_flagged
Crotalus_lepidus,4044,4038,249,249,98,3840,856,211,3,0,495,592,0,1863,0,1088,0.0617,0.0617,0.0243,0.212,0.0007
Crotalus_lorenzoensis,18,17,0,0,0,17,1,1,0,0,3,0,0,10,0,4,0.0,0.0,0.0,0.0588,0.0
Crotalus_lutosus,5281,5281,538,538,225,4511,1548,18,1,0,1113,1605,0,2087,0,476,0.1019,0.1019,0.0426,0.2931,0.0002
Crotalus_mictlantecuhtli,36,33,4,4,0,33,21,9,0,0,10,0,0,14,0,9,0.1212,0.1212,0.0,0.6364,0.0
Crotalus_mitchellii,451,411,82,82,74,411,102,16,0,0,42,3,0,272,0,94,0.1995,0.1995,0.18,0.2482,0.0
Crotalus_molossus,5196,5107,379,379,210,4672,1295,250,1,0,1043,900,0,1860,0,1304,0.0742,0.0742,0.0411,0.2536,0.0002
Crotalus_morulus,285,281,2,2,0,281,22,22,0,0,45,0,0,44,0,192,0.0071,0.0071,0.0,0.0783,0.0
Crotalus_oreganus,13937,13929,1340,1340,549,13358,5094,133,13,0,2558,2630,0,6089,0,2652,0.0962,0.0962,0.0394,0.3657,0.0009
Crotalus_ornatus,2981,2979,274,274,74,2908,921,122,1,0,506,560,1,1585,0,327,0.092,0.092,0.0248,0.3092,0.0003
Crotalus_polisi,9,6,0,0,0,6,3,0,0,0,0,0,0,0,0,6,0.0,0.0,0.0,0.5,0.0
Crotalus_polystictus,260,259,14,14,6,259,39,33,0,0,49,0,0,86,0,124,0.0541,0.0541,0.0232,0.1506,0.0
Crotalus_pricei,1291,1289,49,49,25,1248,239,66,1,0,92,83,0,566,0,548,0.038,0.038,0.0194,0.1854,0.0008
Crotalus_pusillus,103,103,1,1,0,103,22,22,0,0,5,0,0,36,0,62,0.0097,0.0097,0.0,0.2136,0.0
Crotalus_pyrrhus,3409,3400,327,327,134,3007,1436,7,1,0,801,1055,0,1304,0,240,0.0962,0.0962,0.0394,0.4224,0.0003
Crotalus_ravus,552,540,26,26,11,540,111,48,0,0,178,0,0,183,0,179,0.0481,0.0481,0.0204,0.2056,0.0
Crotalus_ruber,8996,8929,908,908,489,8346,2173,121,14,0,1372,1492,0,3945,0,2120,0.1017,0.1017,0.0548,0.2434,0.0016
Crotalus_scutulatus,12405,12393,1785,1785,507,11054,3490,276,10,0,1089,2337,0,6442,0,2525,0.144,0.144,0.0409,0.2816,0.0008
Crotalus_simus,297,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
Crotalus_stejnegeri,49,49,1,1,0,49,3,6,0,0,5,0,0,13,0,31,0.0204,0.0204,0.0,0.0612,0.0
Crotalus_stephensi,875,875,67,67,21,801,332,1,3,0,142,186,0,507,0,40,0.0766,0.0766,0.024,0.3794,0.0034
Crotalus_tancitarensis,8,8,0,0,0,8,3,0,0,0,3,0,0,0,0,5,0.0,0.0,0.0,0.375,0.0
Crotalus_thalassoporus,3,2,0,0,0,2,1,0,0,0,0,0,0,0,0,2,0.0,0.0,0.0,0.5,0.0
Crotalus_tigris,1243,1240,116,116,49,1106,254,25,1,0,179,275,0,514,0,272,0.0935,0.0935,0.0395,0.2048,0.0008
Crotalus_tlaloci,58,58,1,1,0,58,40,4,0,0,13,0,0,33,0,12,0.0172,0.0172,0.0,0.6897,0.0
Crotalus_totonacus,99,99,3,3,2,99,21,5,0,0,24,0,0,37,0,38,0.0303,0.0303,0.0202,0.2121,0.0
Crotalus_transversus,67,65,2,2,1,65,15,9,0,0,18,0,0,26,0,21,0.0308,0.0308,0.0154,0.2308,0.0
Crotalus_triseriatus,771,752,39,39,6,752,401,87,0,0,270,0,0,288,0,194,0.0519,0.0519,0.008,0.5332,0.0
Crotalus_tzabcan,215,190,10,10,1,190,29,23,0,0,75,0,0,80,0,35,0.0526,0.0526,0.0053,0.1526,0.0
Crotalus_unicolor,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Crotalus_vegrandis,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Crotalus_viridis,18198,18190,1681,1681,769,17005,6142,1050,7,0,1449,2425,4,13123,0,1189,0.0924,0.0924,0.0423,0.3377,0.0004
Crotalus_willardi,1072,1057,51,51,25,996,265,129,2,0,89,120,0,439,0,409,0.0482,0.0482,0.0237,0.2507,0.0019
Daboia_mauritanica,41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Daboia_palaestinae,240,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Daboia_russelii,151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Daboia_siamensis,68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Deinagkistrodon_acutus,67,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0.0,0.0,0.0,0.0,0.0
Echis_carinatus,265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Echis_coloratus,156,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
Echis_khosatzkii,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0.0
